Time(s),AU46-EQ6-psaNorthSouth(g),AU46-EQ6-psaEastWest(g),CO47-EQ18-psaNorthSouth(g),CO47-EQ18-psaEastWest(g),DR16-EQ24-psaNorthSouth(g),DR16-EQ24-psaEastWest(g),DX37-EQ25-psaNorthSouth(g),DX37-EQ25-psaEastWest(g),EO30-EQ26-psaNorthSouth(g),EO30-EQ26-psaEastWest(g),GR27-EQ31-psaNorthSouth(g),GR27-EQ31-psaEastWest(g),ME52-EQ39-psaNorthSouth(g),ME52-EQ39-psaEastWest(g),Median-ZoneII-psaNorthSouth(g),StandardDev-ZoneII-psaNorthSouth(g),Median-ZoneII-psaEastWest(g),StandardDev-ZoneII-psaEastWest(g)
0.33,0.135672146,0.191358503,0.227168453,0.201243217,0.119832839,0.114291983,0.295441079,0.232140608,0.144780676,0.177159275,0.148894416,0.169451248,0.111908686,0.126187605,0.144780676,0.062277294,0.177159275,0.038359486
0.34,0.125792516,0.206659629,0.230710134,0.213557449,0.124288032,0.11857605,0.291179671,0.236617244,0.156772853,0.173607366,0.171729318,0.167174562,0.10260307,0.123564029,0.156772853,0.06223227,0.173607366,0.041656906
0.35,0.112596295,0.203782901,0.248401499,0.233539647,0.134693986,0.122927676,0.281292545,0.225260538,0.16213579,0.176625945,0.192945693,0.164841011,0.10331713,0.11561592,0.16213579,0.063036555,0.176625945,0.043228781
0.36,0.113970057,0.182914765,0.268644967,0.247513804,0.152182656,0.127670548,0.27687006,0.206594212,0.16733447,0.1799923,0.21305787,0.172900619,0.102756549,0.113787959,0.16733447,0.064831776,0.1799923,0.041968707
0.37,0.113155602,0.156596668,0.274008382,0.258909134,0.162232289,0.127953306,0.280599387,0.196262288,0.165183989,0.176638645,0.221309004,0.177745722,0.10054414,0.118839851,0.165183989,0.067099268,0.176638645,0.043405612
0.38,0.115515025,0.15201804,0.271904867,0.288972945,0.167194709,0.132232549,0.282593332,0.192986056,0.153687086,0.193681624,0.224637131,0.178491268,0.112436342,0.117952929,0.167194709,0.065338585,0.178491268,0.052298379
0.39,0.119009736,0.153612947,0.2804855,0.315017568,0.172311938,0.14151786,0.281354019,0.191407752,0.142945263,0.201975763,0.231044566,0.177423575,0.135192724,0.123659999,0.172311938,0.063963008,0.177423575,0.058451979
0.4,0.118824766,0.148240333,0.311010561,0.318742634,0.172433795,0.149584659,0.280610026,0.187546202,0.142930305,0.20348011,0.232238563,0.17595114,0.16043787,0.135689169,0.172433795,0.067594647,0.17595114,0.057656804
0.41,0.113195988,0.140779291,0.312780128,0.319327445,0.168259786,0.16429106,0.280968372,0.182666781,0.153231878,0.208762354,0.224943905,0.176033306,0.182902129,0.14124476,0.182902129,0.066258529,0.176033306,0.057053587
0.42,0.113398557,0.144569307,0.296253165,0.338168888,0.166679822,0.173501842,0.276236926,0.186104335,0.15385743,0.226315583,0.212806057,0.17930124,0.190651704,0.166246361,0.190651704,0.061007438,0.17930124,0.060106887
0.43,0.119132712,0.139577582,0.274554441,0.362063505,0.172558986,0.175790947,0.271090445,0.198346889,0.144768051,0.244781423,0.195535862,0.193544097,0.195244429,0.191526605,0.195244429,0.054632308,0.193544097,0.066578765
0.44,0.126934111,0.128946662,0.267231031,0.391293025,0.182852955,0.176511833,0.275071207,0.205432974,0.142251275,0.257097707,0.174680359,0.20397766,0.185843315,0.203090412,0.182852955,0.053014446,0.20397766,0.077048341
0.45,0.135393424,0.133844258,0.248722796,0.419720607,0.186329829,0.186052423,0.28417462,0.203369071,0.160087706,0.267538394,0.161432484,0.204515195,0.16906985,0.207583857,0.16906985,0.049897669,0.204515195,0.0848686
0.46,0.136586316,0.147812263,0.240032138,0.43668992,0.189407477,0.198873214,0.289182273,0.204852397,0.18931931,0.283036407,0.151523657,0.202771448,0.160043786,0.209346738,0.18931931,0.049963844,0.204852397,0.088065199
0.47,0.135222658,0.1556846,0.245529318,0.450329305,0.196679327,0.204539067,0.28865377,0.21806631,0.216638636,0.306312828,0.144826365,0.209585258,0.161994213,0.20893612,0.196679327,0.051946865,0.209585258,0.091497624
