Time(s),AE02-EQ1-psaNorthSouth(g),AE02-EQ1-psaEastWest(g),AU11-EQ5-psaNorthSouth(g),AU11-EQ5-psaEastWest(g),CE23-EQ12-psaNorthSouth(g),CE23-EQ12-psaEastWest(g),CE32-EQ13-psaNorthSouth(g),CE32-EQ13-psaEastWest(g),CP28-EQ20-psaNorthSouth(g),CP28-EQ20-psaEastWest(g),DM12-EQ23-psaNorthSouth(g),DM12-EQ23-psaEastWest(g),NZ20-EQ43-psaNorthSouth(g),NZ20-EQ43-psaEastWest(g),NZ31-EQ44-psaNorthSouth(g),NZ31-EQ44-psaEastWest(g),PD42-EQ46-psaNorthSouth(g),PD42-EQ46-psaEastWest(g),TH35-EQ52-psaNorthSouth(g),TH35-EQ52-psaEastWest(g),XO36-EQ60-psaNorthSouth(g),XO36-EQ60-psaEastWest(g)
0.520,0.208044334,0.233277444,0.114486211,0.194645815,0.085105003,0.087108303,0.139288564,0.198407765,0.201933787,0.337456136,0.253522258,0.243851711,0.247352192,0.224526962,0.150954268,0.18695806,0.351341903,0.38655216,0.452829545,0.810795652,0.306553201,0.620756636
0.530,0.196420026,0.23963691,0.113104675,0.202407595,0.085043484,0.086126263,0.142935559,0.201536021,0.198933588,0.315445472,0.253846923,0.227361029,0.25718474,0.24011371,0.158810687,0.188484504,0.339816278,0.403884402,0.420372125,0.820731655,0.32760158,0.647577085
0.540,0.194741175,0.240416244,0.107804194,0.205455745,0.083124428,0.083829718,0.143022155,0.19853135,0.190428429,0.278750097,0.245281149,0.204182216,0.25544578,0.253626769,0.165339995,0.185992547,0.332390962,0.398994492,0.386490692,0.770358384,0.340514567,0.623528145
0.550,0.204463738,0.243102797,0.104901895,0.198557747,0.079800807,0.081019959,0.14062834,0.194244583,0.181304463,0.250466141,0.23124061,0.188624931,0.250170846,0.261705362,0.169418724,0.18862423,0.326600408,0.382750545,0.401503245,0.689128691,0.351310071,0.565606157
0.560,0.223682906,0.250293361,0.105741896,0.196886547,0.076281316,0.0785274,0.137509946,0.191183194,0.171253443,0.238812936,0.217419052,0.189702056,0.260366871,0.26350789,0.172049307,0.189402283,0.314104029,0.35738573,0.425249844,0.603807968,0.348139786,0.501020153
0.570,0.240346119,0.258455356,0.109133317,0.194297327,0.073748887,0.07724313,0.137557715,0.190915686,0.157501434,0.234522413,0.221622042,0.196621815,0.271184801,0.261114526,0.174559355,0.18583132,0.297034352,0.329637583,0.443117584,0.523905334,0.341684495,0.468864648
0.580,0.255769966,0.262069129,0.116606599,0.191171459,0.071723009,0.075010375,0.148340059,0.194011831,0.149005783,0.226905355,0.225275284,0.201472527,0.280450102,0.257227217,0.177070376,0.182385386,0.277045821,0.313089829,0.449405361,0.454632329,0.329883874,0.504939297
0.590,0.272694331,0.259067217,0.128302112,0.188820801,0.069600124,0.072088412,0.16041641,0.200459766,0.167129028,0.215917965,0.229971492,0.199699957,0.285999521,0.254171855,0.179158461,0.181412419,0.257985373,0.305743474,0.44479957,0.405382577,0.315414414,0.531171223
0.600,0.292979051,0.249951037,0.142071555,0.200763215,0.067013937,0.07006457,0.173526216,0.207304293,0.180306849,0.205347115,0.244276769,0.191161996,0.286055607,0.253803221,0.180584582,0.183286571,0.242452249,0.304844793,0.435017515,0.399863055,0.314313415,0.552593721
0.610,0.315749852,0.237606725,0.154740868,0.207422833,0.063532382,0.071284534,0.185976826,0.210649934,0.191057898,0.196888297,0.257235618,0.179240697,0.280575209,0.254194169,0.181384906,0.187269455,0.251028503,0.307797328,0.424881514,0.388260858,0.301156045,0.545782304
0.620,0.336282355,0.226220188,0.163088784,0.204002031,0.063926993,0.073697722,0.195074355,0.218258029,0.201262451,0.189634804,0.265876022,0.169137762,0.270636218,0.254674128,0.181841001,0.191470763,0.270776722,0.307902392,0.414053352,0.369182773,0.276770744,0.521765566
0.630,0.34930275,0.218380017,0.16478102,0.191564939,0.063866341,0.076851252,0.197717109,0.222206023,0.209564096,0.181009116,0.284121588,0.164168348,0.257141549,0.254069083,0.182209722,0.194257053,0.283980438,0.301214457,0.396149329,0.368854918,0.263401723,0.49694999
0.640,0.356153112,0.214025951,0.164604382,0.183116173,0.06223671,0.078844824,0.194855386,0.217836286,0.214628964,0.18125507,0.29395454,0.160892331,0.24599051,0.253271804,0.182481826,0.195121796,0.293016907,0.289515492,0.36806996,0.397809916,0.251413792,0.477128889
0.650,0.352293088,0.212103339,0.161389317,0.172373937,0.059725397,0.079263639,0.190456183,0.208031553,0.215318789,0.189351562,0.293400945,0.158032991,0.249540418,0.252975749,0.182207046,0.194742846,0.287145313,0.279711499,0.359419117,0.418229594,0.242707441,0.465050112
0.660,0.33993048,0.21203902,0.152284867,0.16621217,0.057466232,0.07847442,0.187180298,0.194137877,0.218354053,0.196963703,0.285597158,0.168642369,0.25766106,0.25220316,0.180934277,0.19676039,0.271009027,0.270970066,0.338577876,0.418257041,0.238226075,0.460167207
0.670,0.324331373,0.214881352,0.142373193,0.160063075,0.056906909,0.077534375,0.183454286,0.189811777,0.218600175,0.196479083,0.27655845,0.174855577,0.278949011,0.249624251,0.180090211,0.218817669,0.250355795,0.267290111,0.314295605,0.399128288,0.236097849,0.457279715
0.680,0.310602873,0.222989613,0.133970342,0.156516073,0.058803185,0.07812993,0.178197382,0.184098837,0.217510763,0.189698932,0.268972012,0.180123394,0.291897574,0.244781356,0.186257269,0.242585305,0.226720678,0.269848714,0.295295375,0.369160172,0.234071376,0.461763099
0.690,0.304029997,0.237363592,0.124061866,0.157603406,0.062606644,0.081098421,0.187912286,0.180006311,0.215684526,0.180588508,0.265309944,0.187348613,0.293867982,0.239241427,0.199109179,0.26304244,0.222598334,0.27632217,0.283671455,0.33799556,0.232893802,0.47242472
0.700,0.305522417,0.256696919,0.115515819,0.161688359,0.067653567,0.085419237,0.197358223,0.178162592,0.21462736,0.175394749,0.268519967,0.197024609,0.298212834,0.235437411,0.211114606,0.27668225,0.219266863,0.284250061,0.284001077,0.336141309,0.23066634,0.48534209
0.710,0.312184791,0.279088813,0.119443651,0.16922013,0.07367165,0.089855473,0.205900127,0.179101766,0.213266191,0.184433828,0.278812582,0.20788241,0.301180795,0.232832508,0.217194824,0.2833889,0.216927951,0.292536671,0.298943147,0.346786474,0.228140326,0.497427819
0.720,0.319566684,0.303322193,0.123138989,0.179411453,0.080103819,0.093427646,0.214026511,0.182401205,0.209907484,0.194082954,0.295137579,0.218202407,0.292894322,0.229106891,0.220180222,0.283620989,0.215010952,0.300263845,0.319831586,0.359286845,0.226625963,0.504698879
0.730,0.324475072,0.326715779,0.127635356,0.192931616,0.086134632,0.095420228,0.222153091,0.18857637,0.202392205,0.199538742,0.313622454,0.227555854,0.302885321,0.226804873,0.224164089,0.275827482,0.212025397,0.305851844,0.342265414,0.369068812,0.227662487,0.509155321
0.740,0.325222026,0.347447476,0.132203342,0.20755265,0.090806623,0.095582985,0.230169716,0.19702483,0.190025162,0.201186984,0.325658322,0.236622693,0.31193211,0.243669847,0.225747078,0.259031782,0.206793826,0.306292065,0.363486094,0.377304687,0.233484302,0.516190785
0.750,0.322720946,0.364497374,0.135143451,0.220587081,0.093458909,0.094194189,0.237564026,0.206749444,0.174185021,0.200329693,0.327794751,0.245657201,0.319801509,0.257823078,0.237626169,0.246311724,0.199071685,0.306233438,0.381026586,0.384802122,0.249452977,0.532013976
0.760,0.317692621,0.37778968,0.135655079,0.230199244,0.097838001,0.092201754,0.253690422,0.21563963,0.164056777,0.199008725,0.319469121,0.253574588,0.329368909,0.265400999,0.246964493,0.243962393,0.189545882,0.300851779,0.394497047,0.386655677,0.266011458,0.555767054
0.770,0.311855887,0.387683747,0.13471877,0.237046012,0.104874003,0.090584932,0.271351601,0.22172404,0.153981913,0.19904328,0.302838686,0.257963615,0.337585708,0.264857299,0.25431624,0.238940769,0.179007144,0.292372699,0.404241396,0.385237162,0.280804689,0.58217897
0.780,0.317996461,0.394010934,0.133144409,0.244600866,0.109815863,0.089887412,0.284252235,0.244287863,0.154817606,0.200060287,0.280784879,0.257436943,0.347513751,0.26095423,0.259695507,0.232094726,0.174347186,0.290648866,0.41106917,0.396509302,0.291213955,0.605063925
0.790,0.329230488,0.397172548,0.13528437,0.248495786,0.112841328,0.089878686,0.292234167,0.261884409,0.151293075,0.199966301,0.265718141,0.251437981,0.359376504,0.262020683,0.263198156,0.224031463,0.168107478,0.281904614,0.431464814,0.413651379,0.295039725,0.621045474
0.800,0.349785402,0.398066625,0.139813475,0.245970793,0.114185508,0.09011628,0.30062317,0.272274563,0.144826184,0.197633134,0.250506921,0.240642967,0.36884002,0.260618451,0.26580842,0.216160125,0.161407316,0.267382993,0.452201322,0.427993158,0.289909358,0.627175566
0.810,0.372160985,0.397421938,0.143507675,0.242359792,0.113829461,0.090524501,0.309119794,0.275047787,0.142505943,0.200625684,0.238096446,0.231145923,0.376128797,0.259797064,0.267942995,0.213180104,0.155290222,0.248810731,0.468939768,0.432646071,0.287845963,0.621131988
0.820,0.389585871,0.395803636,0.146048758,0.251316168,0.111734381,0.091366973,0.312460157,0.270617411,0.139345832,0.199105206,0.231809216,0.221823041,0.38099473,0.260063028,0.269717569,0.218140347,0.150577733,0.228632356,0.482591474,0.427894463,0.292337686,0.603397798
0.830,0.397880878,0.39394746,0.148330005,0.255134656,0.108189317,0.092776387,0.3116016,0.260918241,0.136413674,0.193095722,0.226634948,0.210649355,0.393085056,0.26063736,0.272987724,0.218941188,0.152774006,0.208469865,0.494907979,0.417808957,0.289455627,0.578755933
0.840,0.398255138,0.3925752,0.150974558,0.254739516,0.103683591,0.09462677,0.307278665,0.24767945,0.134196454,0.18410291,0.222755611,0.199797707,0.425184903,0.259519929,0.28066523,0.217779654,0.156701235,0.189760446,0.507600901,0.408776869,0.28136052,0.554462987
0.850,0.396054082,0.392272741,0.152974767,0.250913067,0.100661918,0.096780155,0.300678637,0.232862633,0.132860783,0.174098939,0.220481668,0.190832925,0.452438349,0.264801723,0.283078983,0.228050405,0.161581948,0.178567993,0.521674779,0.406640592,0.269882864,0.537834557
0.860,0.396080749,0.393149646,0.152530958,0.244161775,0.099870402,0.0988849,0.292992298,0.21779481,0.13194067,0.168764969,0.219739824,0.184451432,0.474918451,0.281205698,0.281318771,0.238080844,0.166953831,0.173153714,0.537397995,0.412923494,0.260002222,0.531254934
0.870,0.399689899,0.394627755,0.148232347,0.234699847,0.098333105,0.100338153,0.283540573,0.203815043,0.130536055,0.165499856,0.219694302,0.180207439,0.491543649,0.294922752,0.276913008,0.247995168,0.172548456,0.169581203,0.554586143,0.425396186,0.259072161,0.532170591
0.880,0.404367152,0.395664088,0.15451007,0.222527631,0.096179617,0.100754508,0.272468729,0.192159963,0.127751943,0.167237446,0.219506359,0.176638479,0.502048257,0.305574353,0.270841905,0.256629691,0.178369457,0.167124083,0.572731943,0.438200027,0.260399144,0.535342854
0.890,0.406706607,0.395255413,0.162739175,0.208591842,0.093518535,0.101865338,0.258888698,0.183381892,0.123219328,0.171212159,0.21857044,0.173985527,0.506417696,0.312945708,0.263487821,0.262721755,0.183913443,0.16535083,0.590911874,0.446100782,0.272869307,0.535329072
0.900,0.404998675,0.392828071,0.167913786,0.194064258,0.090515065,0.105110789,0.243237823,0.177687854,0.117463701,0.180869814,0.216758701,0.174548472,0.504901794,0.316852416,0.255326626,0.265205214,0.189126782,0.163656429,0.607727398,0.446790178,0.295636677,0.528926871
0.910,0.406974149,0.388322984,0.16968679,0.185564103,0.089533874,0.107534868,0.226011158,0.17404646,0.111609434,0.192872132,0.215496765,0.18057228,0.497947574,0.317465719,0.255168821,0.263497542,0.193763457,0.16218237,0.621493415,0.44031556,0.316889032,0.514004118
0.920,0.412252775,0.382158852,0.169660306,0.176789408,0.090883236,0.109129747,0.208928231,0.172453465,0.106575814,0.203483498,0.214445704,0.182689373,0.486161641,0.31489735,0.263142882,0.283483694,0.197950341,0.161064773,0.630626648,0.429661288,0.336721927,0.490794353
0.930,0.417750311,0.374628741,0.169859286,0.168013842,0.09167162,0.110004953,0.194265734,0.17363485,0.102734674,0.210758413,0.213202123,0.182119641,0.4708679,0.309075362,0.276056547,0.303179863,0.203957227,0.160407514,0.634379106,0.419046558,0.354692426,0.461461121
