Time (s),CO56-NS,CO56-EW
4.780,0.019885436,0.032010503
4.790,0.019813208,0.03163438
4.800,0.019741335,0.03125774
4.810,0.01966902,0.030880792
4.820,0.019596249,0.030504008
4.830,0.019547766,0.030129833
4.840,0.019520934,0.029755813
4.850,0.019492244,0.029382129
4.860,0.019461637,0.029008959
4.870,0.019429119,0.028636472
4.880,0.019394772,0.028264834
4.890,0.019360191,0.027894204
4.900,0.019323716,0.027524737
4.910,0.019285362,0.027156584
4.920,0.019282935,0.026791118
4.930,0.019294878,0.026427874
4.940,0.019302814,0.026066268
4.950,0.019304943,0.025706433
4.960,0.019301207,0.025441256
4.970,0.019291557,0.025439354
4.980,0.019275957,0.025433077
4.990,0.01925438,0.02542214
