T(s),SCT-EastWest,SCT-NorthSouth,CU-EastWest,CU-NorthSouth
4.4,0.033404312,0.023837982,0.018427513,0.014409032
4.42,0.032547452,0.023495719,0.018487645,0.014570744
4.44,0.031674954,0.02315472,0.018532661,0.014729123
4.46,0.031145872,0.022814037,0.018563058,0.014885107
4.48,0.030977187,0.022472396,0.018579378,0.015037706
4.5,0.030784516,0.022129633,0.018585647,0.01518527
4.52,0.03056683,0.021785617,0.018580102,0.015328716
4.54,0.030330224,0.021440275,0.018562029,0.015467248
4.56,0.030070632,0.021093558,0.018531978,0.015599541
4.58,0.029795973,0.020745464,0.018490469,0.015726932
4.6,0.029500805,0.020424312,0.018441274,0.015847615
4.62,0.029193751,0.020404536,0.018382762,0.015961886
4.64,0.028869144,0.020382946,0.018314241,0.016069949
4.66,0.028535015,0.020359195,0.018236167,0.016170061
4.68,0.028188267,0.020332987,0.018149021,0.016277452
4.7,0.02783212,0.020304016,0.018055107,0.016434057
4.72,0.027469613,0.020272018,0.017955025,0.016578981
4.74,0.02709946,0.020236738,0.017847013,0.016711865
4.76,0.02672208,0.020198583,0.017731468,0.016832385
4.78,0.026339898,0.020157615,0.017608726,0.016939959
4.8,0.025954179,0.020112803,0.017480367,0.017034027
4.82,0.025564027,0.020064016,0.017493649,0.01711421
4.84,0.025169317,0.020011131,0.017603333,0.017180092
4.86,0.024771814,0.019954546,0.017696279,0.017231855
4.88,0.024370479,0.019894934,0.017774842,0.017270163
4.9,0.023965688,0.019831101,0.017837645,0.017293344
4.92,0.023560275,0.019763038,0.017881407,0.017301529
4.94,0.02315157,0.019691519,0.01790581,0.017297115
4.96,0.02274105,0.01961684,0.017911753,0.017278084
4.98,0.022331723,0.019538124,0.017897136,0.017245617
5,0.021920948,0.019456188,0.017864302,0.017201407
