T(s),Zone I (overstrength 2),Zone I (elastic),Zone II (overstrength 2),Zone II (elastic),Zone IIIa (overstrength 2),Zone IIIa (elastic),Zone IIIb (overstrength 2),Zone IIIb (elastic),Zone IIIc (overstrength 2),Zone IIIc (elastic),Zone IIId (overstrength 2),Zone IIId (elastic)
0.82,0.16,0.32,0.32,0.64,0.4,0.8,0.438,0.876,0.2968,0.5936,0.292941176,0.585882353
0.83,0.16,0.32,0.32,0.64,0.4,0.8,0.442,0.884,0.2992,0.5984,0.295294118,0.590588235
0.84,0.16,0.32,0.32,0.64,0.4,0.8,0.446,0.892,0.3016,0.6032,0.297647059,0.595294118
0.85,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.304,0.608,0.3,0.6
0.86,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.3064,0.6128,0.3,0.6
0.87,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.3088,0.6176,0.3,0.6
0.88,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.3112,0.6224,0.3,0.6
0.89,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.3136,0.6272,0.3,0.6
0.9,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.316,0.632,0.3,0.6
0.91,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.3184,0.6368,0.3,0.6
0.92,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.3208,0.6416,0.3,0.6
0.93,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.3232,0.6464,0.3,0.6
0.94,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.3256,0.6512,0.3,0.6
0.95,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.328,0.656,0.3,0.6
0.96,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.3304,0.6608,0.3,0.6
0.97,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.3328,0.6656,0.3,0.6
