T(s),SCT-NorthSouth-19Sep1985-Damping5percent-Sa(g),SCT-EastWest-19Sep1985-Damping5percent-Sa(g),SCT-EastWest-19Sep2017-Damping5percent-Sa(g)
3.64,0.090140051,0.14684107,0.050877941
3.66,0.086624557,0.145534862,0.051280805
3.68,0.08323632,0.1442637,0.051576361
3.7,0.079977941,0.142988818,0.051749103
3.72,0.076850866,0.141716167,0.051800703
3.74,0.073856442,0.140401702,0.05173895
3.76,0.070999348,0.139032069,0.051555515
3.78,0.068283486,0.137615046,0.05125262
3.8,0.065703394,0.136117676,0.050842834
3.82,0.064638043,0.134533405,0.05032
3.84,0.06487318,0.132872314,0.049687003
3.86,0.064924516,0.131115566,0.048955474
3.88,0.064796932,0.129254964,0.048130194
3.9,0.064541784,0.127281927,0.047214638
3.92,0.06414054,0.125204067,0.046215953
3.94,0.06362213,0.123006228,0.045140296
3.96,0.063017227,0.12068631,0.043994536
3.98,0.062318777,0.118248084,0.043462599
4,0.061580846,0.115690979,0.043367227
